id,titulo,autor,siglo,tokens_utiles
212,A fray Pedro de Padilla por su Tesoro de poesías publicado en 1587,Juan de Vergara,15-17,no me admira vos padilla tanto admirable ingenio soberano ni esmirna llegue vuestra mano ni igualar tracia vuestro canto ni presteza quien nuevo espanto aquel llegar piensa piensa vano esto pasar muestra curso humano puedelo todo justo cielo santo admirame ver edad nuestra haya quien piense dar tan alto vuelo llegar diga vos encierra digalo esta labor divina vuestra ella os hace milagros aca cielo honor espana gloria tierra
213,Soneto,Ludovico Gonzaga,15-17,cuando duro mal mi tormento tan severo rigor vere aplacarse adonde si mismo retirarse podra quien lleva si sentimiento fiero parricida pensamiento mis mismas entranas veo forjarse tanto mi dolor encarnizarse di mi muerte misma toma aliento entre mortales ansias agonizo afecta conciencia mis males poder morir estoy muriendo oh tristes durisimas senales pues muerte ya rabia emprendo me ha rogar atizo
214,A la muerte del doctor Juan Pérez de Montalbán,Damián Ruiz de Silva,15-17,descansa marmol mi pluma sea tus cenizas dolorosa pira ese mortal aliento ti inspira informe numen mi corta idea pues remontado tanta luz febea entre esplendores tu fama gira muerto mi afecto vivo alli te mira vivo muerto duda no te vea descansa pues huella ufano anciano joven globo cristalino inalterable gloria cortesano tan pura region tal destino quien te aclamaba montalban humano hoy te venere montalban divino
215,Soneto,José García de Salcedo Coronel,15-17,cefiro hojas deleitoso laureles espiras vencedores despertando dormidas flores suave olor les robas codicioso deja si hurto aspiras dichoso tus lascivos providos errores donde lisi ostenta resplandores vuela agradablemente licencioso lleva si fueres mi ruego humano estos suspiros estas amorosas quejas donde envie mi pensamiento podras robar purpureas rosas labios olor soberano darle mis deseos sustento
216,Eróticas – - II -,Esteban Manuel de Villegas,15-17,quien me dijera clori algun dia te pudiera olvidar tan facilmente mientras soltero crin hizo tu frente hilos oro lazos rabia mientras blanca juventud bullia tus mejillas carmin ardiente entre tu blanco aljofar luciente sirena te escucho temio arpia todo memoria desprecio vino olvidarse mi no olvidarse modo me niegue conocerte quedate pues adios venga otro necio sepa amarte sepa no estimarse yo vi no pienso verte
217,Soneto,Luis Martín de la Plaza,15-17,lidia tu avarienta hermosura pide tiempo enemigo estrecha cuenta ya ni crespo cabello oro afrenta ni mejillas nieve pura tu mentida belleza mal segura vano reparar dano intenta edad ojos representa tragedia mortal lumbre oscura ya ya no me veras noche viento banar infame llanto tus umbrales comparando suya dureza tiempo efectos desiguales me da venganza roba tu belleza te da dolor cura mi tormento
218,Soneto,Luis Martín de la Plaza,15-17,hoy muerte porque yo esperaba fruto arbol tierno cortas despojos cierras manos ebano ojos quien pago luz sol tributo cubres cielo razon luto tierra deja flores viste abrojos llora alba nuevo enojos sol nos muestra triste rostro enjuto yo mi vida no muerte lloro vida ausencia no me alegra ellos veran dios eternamente ay claros ojos ay cabellos oro ya noche muerte negra esconde vuestro sol occidente
219,Del mismo al mismo tema,Francisco Benavides Manrique,15-17,pesar envidia repetida goza heroico varon nombre famoso cuestete vivir si forzoso importa fama esclarecida ya recobra tu gloria aborrecida tumulto profano envidioso si vida fuiste no dichoso feliz eres eterno vida mientras vives glorias te difieren mueres fin odio satisfaces cuantos tu fin vengarse quieren vuelven penar porque renaces asi nacen siempre mueren tu mueres siempre naces
220,Epitafio a las ruinas de Roma,Juan de Jauregui,15-17,nombre ausonio ligera suelta fama tiempo resono culto templo tarpeyo quien indio oculto rindio tesoros iberio celta aqui difunto yace aqui resuelta piedra polvo antiguo vulto nos muestra roma sepulcro inculto cenizas si misma envuelta rara fenix cuerpo mismo quiso abrasar encendidas guerras porque vida renovase vuelo si tiempo rigio anchas tierras hoy estiende ellas abismo sacro imperio empireo cielo
221,A un navío destrozado,Juan de Jauregui,15-17,este bajel inutil seco roto tan despreciado ya agua viento vio indiferente vasto movimiento proceloso mar euro noto soberbio golfo humilde piloto rico metal siempre sediento trajo minas ibero asiento habidas indice remoto ausente yace selva cara do verde ornato conservar pudiera mejor pudo cargas tesoro asi quien sigue codicia avara tal vez mezquino muere extranjera provincia falto consuelo oro
222,Al jabalí que mató don Felipe Cuarto nuestro señor,Anastasio Pantaleón de Ribera,15-17,repetir regodeos destino no no bruto feroz consejo sano si te holgo oreja fiel alano franca sobra espanol quitino haga escarmiento moro cochino proximo difunto mano nariz joven soberano aun esta jurando vellocino ingles adonis venganza no asi alcino septimo admiras jabali peregrino bruto muerto temiendo pues tu riesgo otra lanza ojos le lloras le miras uno no si fueras tuerto
223,A la muerte del doctor Juan Pérez de Montalbán,Josehf de Ostabat,15-17,febo musas constituyen sonora cancion plectro ardiente licor aganipe reluciente copas cristal le distribuyen aliento beben dolor arguyen contra fiera cloro insolente montalban destierra gente entre polvo dias concluyen lamentables canciones le previenen fama inmortal gloria renace muerte lira mientras musas le entretienen piramides levanta memoria apolo llorarle retira
224,A don Agustín y Salazar y Torres,Nicolás García de Londoño,15-17,le debe celo ciencia salazar numen soberano pues no le exceptuo ella humano tu le das eterno preeminencia vive aun despues muerto tu elocuencia pueda ofenderle tiempo vano porque flores compuso ufano alma nueva les das existencia vuela joseph alas tal pluma trono metricas deidades sendas zafir montes espuma pues has ilustrarme estas edades ceno contra ti presuma ha vivir tu ingenio eternidades
225,Sonetos – - I -,Rodrigo de Carvajal y Robles,15-17,no me duelo mi porque mi duelo regala pena mi sentido gloria ser vos aborrecido pues amando vuestra me consuelo vos razon justa me duelo causandoos mi amor odio crecido siempre temor tendreis alma asido pecho aborrece no hay consuelo siendo esto asi no debo estar quejoso yo rigor vuestro pensamiento vos si aficion mi memoria mi amor vos riguroso pues amando yo siempre os doy tormento vos aborreciendo me dais gloria
226,Acto III - Escena I - Preafán,Andrés Rey de Artieda,15-17,si porque sophonisba te manda contra scipion resuelves masinisa siguiendo bandera divisa anibal apretando consul anda di si cartago desmanda contra scipion despues le das tal prisa apenas sophonisba suelo pisa segura cuando roma demanda prometiome esa dama casamiento dio siface cartago me le muestro tan aspero sangriento si me escribe scipion hago falta ella mi desabrimiento ni merece ni pide menor pago
227,Soneto,Francisco Santos del Castillo,15-17,asi senor sentis ver oprimido javier valor ceda tormento efigie insensible sentimiento mostrais sacra purpura tenido tan propio vuestro dolor ha sido os precisa dolor sangriento segunda vez os vea instrumento vos hombre redimido javier quien padece dudo cuando veo efecto riguroso vos golpe javier recibe si javier vivis ya veo pudo ser vuestro dolor pues amoroso padece corazon donde vive
228,"A la majestad del rey Felipe, nuestro señor",Juan de Castellanos,15-17,columna religion cristiana catolica fe firme sustento aquestas mis elegias os presento monumentos gente castellana vena esteril poco mana como senor deis aliento podra poquedad mi talento servir majestad tan soberana esta segunda parte publica cual real favor estriba como cosa tanto le conviene don pobre voluntad rica esta rey soberano reciba ser quien ofrece cuanto tiene
229,Soneto,Sebastián Ordóñez Abril,15-17,ser madre sol aurora aspira ver ilustre sucesion fallece siendo mismo esplendor engrandece cuna hijo madre pira fausto achaque lucir espira porque no bien albor desaparece cuando otra vez esplendida amanece nuevo aliento otro sol respira reina augusta aurora soberana sol tan grande oriente dora dos opuestos orbes espanoles no receles tu ocaso manana desmayos lucidos aurora convalecen anuncios otros soles
230,A Lope de Vega cuyo nombre va en él cifrado,Carlos Boyl,15-17,lacedemonia honra bulides ortigia oraculo suerte preciase atenas codro fuerte esparta cleomenes lides gran teseo famoso alcides grecia madre tiene muerte vivo famoso hijo laerte estado vio euclides gentil renombre cordoba llana adquiere porque ha seneca ha criado crisosl espejo ciencia hispana ahora mejorando estado recibe honor madrid alegre ufana varon insigne ha engendrado pues cielo ha dado otro retrato estas sombras vivo loen mis versos saber altivo
231,Al grande cuanto malogrado ingenio del doctor Juan,Fray Nicolás Garcés,15-17,yace aqui no yace antes revive nuestra pluma eleve decima musa nueve no emulacion olvido si apercibe vive pues aquel fenix aquel vive aliento espiritu le bebe otro fenix lope quien debe plectro segundo lope escribe talose aquella vaga nuestra espana gran perdida si bien sentida quedando montalban florida vega ay agosto fatal guadana golpe ya cloro atrevida pudo quitarnos dos lopes vega
232,Al Duque de Béjar,Cristóbal de Mesa,15-17,gustad senor aquesta vuestra villa cual bien vive bien bebe porque falta calor sobra nieve hay mejores frutas castilla si bosque ameno maravilla cansase ocio musas nueve considerando vida breve no esta lejos corte ni sevilla procurad salud alegria vida mundo no si dijese vario vulgo diga desterrad mortal melancolia si esta triste animo higa pasa toda prospera fortuna
233,"A San Juan Bautista, al haber sido precursor6",Alonso de Salas Barbadillo,15-17,hermosa clara celestial aurora gracia sol nos anunciaste cuando bellas luces coronaste campos verdes entapiza flora ave claro dia anunciadora cual ave campos habitaste despuntar luz tan bien cantaste tu voz le suspende enamora cristo capitan sagrada espada saber modo guerra lucifer furioso arrojado pues mostrando tu esfuerzo valentia siendo reconocido tierra quedaste como espia degollado
234,Soneto,Felipe II,15-17,muerte efecto poderoso firme proceder mal entendido amada mitridates vencido temida pompeyo victorioso muerte antidoto dudoso veneno misero rendido propias desdichas sacudido libra eterno sueno reposo puerto donde nave combatida piensa tener propicia acogida sana mal contrario fuerte bien no estimar tal suerte todo vale nuestra vida porque tiene necesaria muerte
235,A la muerte del doctor Juan Pérez de Montalbán,Joseph Antonio Ávila,15-17,este lustros breves prefiere tanto estudio le apercibe muerto glorias acierto vive vivo luces ingenio muere pimpollo quien si airado noto hiere hojas tantas verdor escribe almendro marco le cultive no hay flor airado deshojar no espere envidia pecho ardiente brote veneno vil entre congojas apagar sed ardores vivira pesar eternamente como pimpollo fruto hojas como almendro ambar flores
236,A la muerte del doctor Juan Pérez de Montalbán,Gaspar Fuensalida,15-17,dio fin paz ultimo cuidado montalban ni premiado ni quejoso no morir hoy trance animoso ya quedo filo muerte honrado quietud candor templado horror embozo cauteloso sino dejaron esgrimir ocioso gozo peligros envidiado valor piedra reducido virtud aumenta escondida esplendor acoge olvido no ha menester urna lucida ni coloso vano crecido sabio descansa vida
237,Soneto,Diego Ramírez Pagan,15-17,ojos bellos amorosa frente brazos manos pies claro viso me han hecho mi mismo diviso todo singular otra gente crespados cabellos oro ardiente cuerdo resonar dulce riso tierra hacer solia paraiso ya poco polvo no siente yo dolor desdenado vivo oscuras lumbre ame tanto como remos barco mar esquivo fenezca aqui mi enamorado canto seca vena ingenio vivo citara mia vuelta llanto
238,"A Alonso Pérez de Montalbán, en la muerte del doctor Juan Pérez de Montalbán, su hijo",Antonia Jacinta Barreda,15-17,no cubra rostro venerable anciano diluvio lagrimas viertes seran tu lastima dos muertes enternezcan pecho tirano ya no te obliga sentimiento humano si tanto extremo prodigioso adviertes porque llorando mundo mil suertes tu llanto suple cielo soberano ay no consuelo suficiente dolor te oprime tan prolijo piedad mia le cuadre porque llore mundo amargamente no hay quien padre llore como hijo ni quien hijo llore como padre
239,Soneto,Francisco de Terrazas,15-17,ay basas marfil vivo edificio obrado artifice cielo columnas alabastro suelo nos dais bien supremo claro indicio hermosos capiteles artificio arco aun mi me pone celo altar donde tirano dios mozuelo hiciera si mismo sacrificio ay puerta gloria cupido guarda flor estimada cuantas mundo son ni han sido sepamos hasta cuando estais cerrada cristalino cielo defendido quien jamas gusto fruta vedada
240,La constancia,Juan de Arguijo,15-17,soberbias olas resuelva mar conmovida cimientos gima tierra contrarios vientos talen cumbre robusta selva ciega confusion envuelva discordia mortal elementos nuevas senales portentos maquina estrellada disuelva no desfallece ni ve oprimido varon justo animo constante mal como ajeno considera mayor adversidad sufrido airada suerte igual semblante mira seguro alentado espera
241,Soneto,Gregorio Silvestre,15-17,mortales habeis visto mayor cosa siendo muerte me he tornado vida aspera cruel desabrida me he hecho blanda dulce amorosa ya me codician todos hermosa quien era aborrecida soy alegre cara recibida suerte deseada venturosa sabeis manera mortal velo alma santa desate aquella quien era vivir dulce agradable murio dona maria subio cielo quedo hecho vivir muerte ella alegre vida yo dulce afable
242,Contra las esperanzas,Francisco Manuel de Melo,15-17,me llevasteis esperanza gracias madrugar escarmiento pequeno estrago solo rendimiento no costo sangre confianza averiguad primero templanza mi deseo facil sediento presumireis despues vencimiento antes no blasoneis mudanza cuanto no sucedio no sucedido alma creia si esperaba ceremonia caso hizo dias tened no triunfasteis mi olvido venceros yo solo bastaba si no volvamos fantasias
243,A la muerte de Lope de Vega,Pedro Mesía de Tovar,15-17,ya parnaso monte generoso no tan fertil tributo mundo ofrece deidades turba enternece mirar ausente hijo glorioso hermosa vega fruto numeroso marchito yace ceres enmudece ver si siembra flor ya flor no crece solo reina brazos reposo felice solo tu fama toda trompa limitado aliento lope lope tu nombre tanta gloria poca voz todo orbe te llama estrecha pira ambito viento vive eterno vive tu memoria
244,Vencimiento de ausencia,Francisco Manuel de Melo,15-17,dilatandose va esos llanos verdes montes claros rios largos ser desvios altos otros ser tiranos agora astros soberanos cumplen obstinacion mis desvarios cual si fuesen tambien albedrios sujetos furias manos tu estrella celestial subida astros venceras rios montes vengandole mis ojos violencia luz gozara fe alma vida miedo suerte sol horizontes paga amor credito ausencia
245,Soneto,Gregorio Silvestre,15-17,decid tratais agricultura este valle umbroso desabrido fruto deleite habeis tenido no os torne luego amargura gusto regalo dulzura espinas grano habeis cogido no salga nublado revenido silo triste sepultura mal terreno mala sementera puede segar sino sospecha disgusto confusion remordimiento alma siente ya era como ha abaratar cosecha agosto seco eternal tormento
246,A la mudanza de la fortuna,Juan de Arguijo,15-17,yo vi rojo sol luz serena turbarse punto desparece alegre faz torno oscurece cielo tiniebla horror llena austro proceloso airado suena crece furia tormenta crece hombros e atlante estremece alto olimpo espanto truena luego vi romperse negro velo deshecho agua luz primera restituirse alegre claro dia nuevo esplendor ornado cielo mire dije quien sabe si le espera igual mudanza fortuna mia
247,Soneto,Cristóbal de León,15-17,griego vemos hoy lanza fiera troyano fama abierta sonorosa musa despierta aquello paso entonces era destos agora nunca supiera cosa conocieramos cierta si pluma homero fuera muerta mantuano no viviera obligados uno romanos obligados otro argivos obliguense tambien castellanos varones indias altivos pues versos dulces galanos honran mucho muertos vivos
248,A una dama que despabiló una vela con los dedos,Francisco de Terrazas,15-17,algun peligro escarmentado suele temerle quien ignora eso temi fuego vos senora cuando vuestros dedos tocado viste temor tan excusado dano os hara vela agora si no os ofende vivo mi mora como os podra ofender luego pintado prodigio mi dano dios me guarde ver pabilo fuego consumido acudirle remedio vos tan tarde senal no esperar ser socorrido misero fuego voz arde hasta este ceniza convertido
249,Soneto,Diego Ramírez Pagan,15-17,tras arado vacas porfia mano estaba refirmada araba filis madrugada orilla ebro despuntar dia viento cabellos esparcia cerviz aljofar rodeada tan blanca tan rubia colorada sol presencia no lucia ovejas caso repastaba vandalio pasar vio doncella tanto vista enamora dijo voz monte resonaba nunca vide aldeana tanto bella ni bella jamas vi tan labradora
250,A San Juan Bautista,Alonso de Salas Barbadillo,15-17,cumbre santidad monte sagrado cielo nos ensena encamina tan senalado santidad divina propio dios vos senalado indice aquel libro celebrado verdad virtud inclina mano corriste cortina sumo dios cubierto disfrazado le mostrais varon famoso pueblo despues tiranamente ha ser sangre carnicero encoged vuestro dedo milagroso advertir mostrarle aquesta gente mostrar lobos cordero
251,Al retrato del rey don Sebastián,Jerónimo de Vahía,15-17,enigma hombres coronado esperanza vives escondido eres aquel juzgo perdido eres aquel vives ignorado sirve amor darte pintado si vives almas esculpido si ya muchos has venido como tantos eres esperado afecto amoroso tu venida esperan muchos mejorar suerte otros fundan tu fin tu partida di verdad confusion tan fuerte desengana aquellos tu vida desmiente otros tu muerte
252,Soneto,Cristóbal de Mesa,15-17,alaba vida corte no goce bien campo solitario ambicioso pensamiento vario nunca sepa regir firme norte despachos cartas gran porte desesperado espere ordinario ande secretario secretario dando varios negocios vario corte procure ser privado privado adule diversas pretensiones todos gozan gobierno afane saber cosas estado llaves doradas bastones tengan mal verano mal invierno
253,A Joseph de Villaviviosa,Juan de Hinojedo Xarava,15-17,si fama eterniza humanos vuelo mejor suyo vos emplea pues alas gente mosquea subis hasta astros soberanos susurros moscas son ufanos gritos trompa letal pelea siempre vuestro nombre sea gigante sujetos tan enanos no tema ya mosca fiero octubre ni nieve escarcha furia esquiva riguroso erizado invierno pues larga vida ya le descubre ella reconocida mientras viva hacer promete vuestro nombre eterno
254,"A Francisco Cascales, cuyo nombre va en el cifrado",Carlos Boyl,15-17,famoso nombre cordoba llana recibe porque seneca ha criado apuleyo africa ha ensalzado no traza soberana caton sabio nacion romana inmensa gloria ciencia ha dado sinon humilde patria ha levantado crisipo establecio ley tebana homero grecia puso gran alteza cartago creson ennoblecida apolo delfos dio dichosa suerte si estas caber vemos tal grandeza cuanta razon engrandecida ser cartagena sabia fuerte cielos porque acierte poeta influyen arte ciencia solo alabe excelencia
255,A la curiosa y celebrada casa de don Juan de Espin,Anastasio Pantaleón de Ribera,15-17,curioso peregrino te desea este culto edificio hermosura cuya argumentada arquitectura feliz arte mejoro idea asi atencion te lisonjea fama despues venerara futura bronces firme porfidos segura sea admiracion envidia sea tesoro rico curioso dueno cuanto estudio naturaleza cuanto obro imitando artifice ingenioso admiracion corto desempeno peregrino si objeto tan hermoso extasis te niegas espanto
256,Acto II - Escena II - Marcilla,Andrés Rey de Artieda,15-17,cesar despues cabeza mira rey egipto le mando presente encubrir valor tan evidente segun escrito esta llora suspira anibal cuando ya le retira fortuna falta ella siente riese entre afligida triste gente solo encubrirles gran ira sucede pues cada cual procura pasion cierto desvio vista encubrir clara oscura asi si esta vez yo canto rio hagolo ser esta segura manera encubrir dolor mio
257,A un almendro plantado junto a un moral,Anastasio Pantaleón de Ribera,15-17,tu pompa ya flores vana perdiste planta sazon madura donde tu juventud te quito dura cuanto verdor te acelero temprana si inclemencia cierzos cana no te aviso dano hermosura esteril tronco estes ruina oscura infame acero segur villana provido miedo ley desea tenle ya tu prevenir veces males ni ofende ni embaraza este antiguo moral tu ejemplo sea injuria temiendo padeces tu mismo peligro amenaza
258,A la edad del año,Juan de Jauregui,15-17,verdes ramas frescas flores vistio tierra ninez infante virgen seno vivaz semblante orno mil guirnaldas colores joven despues placidos amores gozando cielo amador constante entranas como tierna amante suspiros vez lanzo vapores mil frutos sazon vientre abierto luego produjo puro viento ufana broca faz mostrando ruda hoy arrugado vejez yerto rostro vemos nieves cana todo edad descompone muda
259,Condena al fabricar soberbios palacios,Juan de Jauregui,15-17,ay cuan poco sirve arrogante edificio soberbio empina pilastras tenaro fina marmol piedra color cambiante pues cuanto suelo levante maquina excelsa cielo convecina tanto cerca atiende ruina tanto cerca rayo tonante consumira jaspes tesoro consumidos propia suerte ellos seran terminos ligero ventura entre alabastros oro alto capitel vera muerte pobre desnudo sucesor primero
260,Al lector,Juan Ciberio de Vera,15-17,valor castellanos ha triunfado todas indomitas naciones cualesquier honrosas ocasiones lanza satisfizo cuidado castellanos quien ha cantado proezas uso fricciones porque flores guarniciones salieron tela brocado ansi lector vereis pura sustancia verdades cosas tan extranas ninguna merece mal oido pues demas estilo elegancia son obras son grandezas son hazanas indignas carcel olvido
261,A la muerte de Lope de Vega,Joseph Salinas y Enríquez,15-17,vuela cisne espanol mejor nido eterna region te fija estrella albergue muda tu fama huella precisas injurias olvido mejorar no morir oprimido raro bulto helada pira sella felice ruina pues ella firme padron tu fama te ha erigido sola gloria adquiere hombre sabio morir no adquirio esta gloria posteridad fundo suerte muere tu pues parezca agravio verte inmortal memoria sera festivo llanto tu muerte
262,Soneto,Luis Martín de la Plaza,15-17,si sol pone yo muerte llego quien detenerlo vivir pudiera deten dorado apolo carro espera sol no nuestro ruego oh tu senora quien vivo ciego alza claros ojos esfera dile sol pare carrera no le prestaras luz fuego solo mirar tu hermosura parara caballos admirado no vendra noche mi muerte ay triste mi quien me asegura ver excedes afrentado no les rienda huya no verte
263,Soneto,Luis Martín de la Plaza,15-17,temes morir procura hombre tu afecto vida tan ajena propios bienes males llena tan bien guardada cuanto mal segura muerte fin tu prision oscura quien gozaras paz serena aquella vida donde no pena sino gloria siempre dura muerte horrenda no te espante tu bien solicita pues intenta vivas inmortal despues muerto dime no sera loco navegante quiere quedar tormenta no llega descansar puerto
264,A la ingratitud de un criado a quien di mucha rent,Jerónimo de Barrionuevo,15-17,vina mia yo mismo te he criado plantando vides podando flores abril tus verdores dieses envidia florido prado marmol alabastro te he cercado librandote todos rigores asi pasajeros robadores como golosina ganado tierra te mulli pode sarmientos dejandote guias provecho porque llevases frutos opimos desvaneciste todos mis intentos no pude hacer hecho cuando labruscos vuelves racimos oh lindos parecen tus esquilmos mala cepa todo malo pues no vale sarmiento palo
265,Eróticas – - III -,Esteban Manuel de Villegas,15-17,tras rosados mi lyda hermosa rindio amor tus labios corales si dignos no serviciales merecieron lograr suerte amorosa quien les concedio edad briosa vibrar centellas llama iguales tiempo hicieron desgajar cristales coral coral rosa rosa tal suavidad este empleo gusto apenas hizo breve ausencia cuando lyda volvio voz sucinta dijo dulce bien mi deseo si tal gusto nos da tu prima esencia gloria no dara esencia quinta
266,Soneto,Luis Martín de la Plaza,15-17,cubierto estaba sol negro velo luchaba viento mar hinchado huecos penascos quebrantado blanca espuma salpicaba cielo ronco trueno amenazaba suelo tocaba rayo monte levantado pardas nubes granizo helado campo cobijaban hielo luego clara luz mostraron bellos ojos contento adoro quien alba envidia colores calmo mar callo viento ausentaron truenos pinto sol nubes oro vistiose campo olorosas flores
267,Soneto,Juan Bautista de Mesa,15-17,cansado sufrir mi sufrimiento muerta desdenes mi esperanza cierto mi mal no habra mudanza ronco esparcir quejas viento llame muerte morir contento si tanto bien desdichado alcanza aun morir no tiene confianza solo ser alivio tormento mi triste estado condolida llego muerte yo llegue muerte estorbomela gusto morirme porque este sustente vida oh nunca vista desdichada suerte quiero venga yo impedirme
268,Soneto,Bartolomé Sánchez,15-17,gracia quieran ver aviso silvestre galan cortesano vengan puerto principe cristiano gozaran nuevo paraiso nuestro fragil vidrio quebradizo vera ejemplo raro soberano prision buen altamirano quien ella dios regalar quiso gracias buen silvestre balboa tan dulce estilo nos declara aqueste santo obispo paciencia bien merece hoy eterna loa generoso obispo tiara tiene mundo mayor potencia
269,- X -,Juan de Arguijo,15-17,pequena luz sesto pone puerto ojos atrevido rompe leandro mar embravecido intentos furor opone cuidando le muerte abone grande amor ofrece conocido peligro ondas ya vencido amansallas vano dispone ondas dijo muriendo si consiente vuestro furor triste amante ruego sed rato mi dolor piadosas frenar curso veloz corriente mostraos benignas solo mientras llego cuando vuelva me anegad furiosas
270,Soneto,Joseph Bruton y Mójica,15-17,quien muere alli detente escucha mira no ves gran dolor otra vez huerto cadaver tronco horror cubierto otro tronco sufrir alma respira cruz heroe aliento inspira gran javier mide pie incierto indio suelo congojado muerto tierra aire agua fuego admira suda javier todo alma padeciendo sude cristo cuerpo pena aguda cuerpo alma esta amor muriendo cuerpo verdad mueren duda como alma gime falleciendo cuerpo alla cruz sangre trasuda
271,Al peregrino,Camila Lucinda,15-17,mientras dulce epitalamio tiemplo lira humilde tu canto indina goza tu nise celestial divina peregrino amor unico ejemplo si centro nise tu ardor contemplo esfera hermosura peregrina cuelga bordon sombrero esclavina sagradas aras tu templo pon tabla di cuando me llama llego esfera lope divinos versos llego tambien hasta fama aqui dio fin amor mis caminos lope historia dos nos llama mundo sujeto peregrinos
272,- XXV -,Juan de Arguijo,15-17,sepulcro ilustre griego honro cenizas sigeo mejor caria rico mausoleo alejandro paro exclamo luego oh gloria grecia claro fuego cuya llama nieblas leteo no bastan encubrir ni trofeo robar podra jamas olvido ciego ti dichoso joven guardo cielo porque eterno tu nombre mundo fuera grande homero divina historia si aquella pluma alto vuelo faltara mismo tumulo cubriera tu mortal suerte tu inmortal memoria
273,- XXXIX -,Juan de Arguijo,15-17,tu noche gloria ornamento errante luna oyes mis querellas vosotras clarisimas estrellas luciente honor alto firmamento pues han subido alla mi lamento son mi fuego centellas sienta vuestra piedad oh luces bellas si merece mi amoroso intento esto diciendo deja patrio muro desdichado piramo nino corre sepulcro donde tisbe espera pronostico infeliz presagio duro infaustas bodas si ordeno destino tumulo talamo escogiera
274,A la muerte de Lope de Vega,Jacinta Baca,15-17,llego ya montanas apenino llego libia ardiente seythia helada fama justicia acreditada este varon tanto laurel digno asi remoto vecino himnos dolor sera llorada falta memoria venerada velo humano divino hasta campo zafir hermoso noche dio termino vida mostraron lumbreras sentimiento afecto triste amoroso cuando delio llego luz cumplida le formo sombras sacro monumento
275,Soneto,María de Zayas y Sotomayor,15-17,amar dia aborrecer dia llamar noche despreciarla luego temer fuego acercarse fuego tener tiempo pena alegria estar juntos valor cobardia desprecio cruel blando ruego tener valiente entendimiento ciego atada razon libre osadia buscar lugar aliviar males no querer mal hacer mudanza desear si saber desea tener gusto disgusto iguales todo bien librado esperanza si aquesto no amor no sea
276,- LV -,Juan de Arguijo,15-17,mira cuanta priesa desvia nosotros sol mar vecino aprovecha fernando tu camino luz pequena este breve dia antes tenebrosa noche fria pierdas senda buscalla tino aventurado manos destino vages errando incierta via hagante ajenos casos ensenado miserable fin tantos pueda fuerte ejemplo apercibir tu olvido larga jornada plazo limitado tienes veloz tiempo corre queda solo dolor haberlo mal perdido
277,A la muerte de Lope de Vega,Joseph Estrata y Espínola,15-17,felix te nombra ya feliz te advierte canora fama coros repetida pues pisar limite vida pasaste carrera muerte envidia castigada ya convierte caricioso afan herida castigo sana prevenida crueldad tan halaguena suerte liberal quedaste renombre pues das venganza victoria envidia silencio asombre modestia disculpa notoria inmortal aplauso tu nombre dejas mayorazgo memoria
278,Soneto,Francisco de los Santos,15-17,prospero nacer quien luna riesgo pone infausto apagarse lucero sol puede pensarse ataud pagas cuna tan unido imperio oportuna luz cuarto planeta ha eclipsarse cuando astro coronado colocarse viene tu ardor inclita fortuna ella majestad tanto lleno menguante antorcha tan crecida llego dar tus claridades ya cielo espana sereno vuelve crecer luces vida llenarlo prosperidades
279,Soneto al lector,Francisco Crespi de Valldaura,15-17,voz llorosa triste melodia canta giron muerte tormento aquel cuyo alegre nacimiento cantaba cielo gloria alegria sientan almas aspera agonia hagan ojos grave sentimiento ver tan afrentado tan sangriento hijo poderoso maria tu pio lector despues visto orden primor destreza gala canto llorar ha moverte llora compasion jesu cristo dolor ver vida mala fueron libres muerte
280,Soneto,Juan de la Cueva,15-17,sirven amor ya tus saetas corvo arco mano rigurosa triunfante palma victoriosa hubiste rige planetas adonde esta poder sujetas mundo jamas reservar cosa fuerza robusta poderosa libres pechos inquietas me hace saber puedes tanto ser hijo diosa descendiente iove regidor cielo santo si aquella dura mi mal no siente asi despoja mi alegre canto ti ser llamado omnipotente
281,Al doctor Juan Pérez Montalbán,Bartolomé Prado Bravo y Mendoza,15-17,silencio retorico venere tu ingenio orbe montalban dichoso siglo donde breve glorioso solo mayor sabio cuando muere ya recelo luz altere vives eterno dia misterioso no veces sombras achacoso no como nuestro si alumbra hiere ya entiendes verdad dejaste indecente aun ceno tu olvido ah cuantos dobleces te libraste si vida no te hubiera sido medio alcanzar gozaste te durara dolor haber vivido
282,De La duquesa constante,Francisco Agustín Talega,15-17,contra feroz hidra brazo clava hasta reinos pluton vencian alcides mostrar cuanto podian extrano poder ejecutaba cuando rendida juzgaba rigor fuerzas suspendian siete cabezas nuevas le nacian cuello le cortaba tal fiera mi pensamiento pelea vida suspendo injustamente tal combate cuando venzo me defiendo tantos martirios saco tormento mejor me ofrezca me mate
283,A la muerte de Lope de Vega,Blas Fernández de Mesa,15-17,no sella si le buscas caminante fenix espanol no le guarnece esta mantua religiosa ofrece posteridad urna elegante no yace aqui duracion brillante plumas santas resplandece pesar anos no fallece quien inmortalidad labra instante dejonos pues region extrana admiracion huesped apercibe intimandose fenix no segundo breve esfera meritos espana capaz proporcion ahora vive dilatado terminos mundo
