id,titulo,autor,siglo,tokens_utiles
39,Soneto a Nuestra Señora de Alva,Diego Ramírez Pagan,15-17,sosegado esta mar selvas prados hoja flor pompa muestra cielo noche vi rompiendo aprisa velo caballos herir negros alados scintia deja campos plateados transparente cristalino hielo resplandecian senor delo orientales rayos colorados cuando otro sol puro occidente veis donde asoma serenando dia imagen oriental descolorando dijo eterna luz sola ardiente sufrid paz hermosura mia clara vos va mostrando
40,A la vida y costumbre de Nuestra Señora conforme San Epifanio,Andrés Rey de Artieda,15-17,vistio humilde virgen lino lana honro estado grande pequeno ira colera risa ni sueno mostro tener ni turbacion humana estatura cuerpo mediana rubio cabello color trigueno afilada nariz rostro aguileno cifrado alma humilde llana ojos verdes color oliva ceja negra arqueada hermosa vista santa penetrante viva labios boca purpurea rosa gracia palabras excesiva representando dios cualquier cosa
41,A Lope de Vega,Diego Ximénez de Cabredo,15-17,hoy queda siempre declarado vaga espaciosa fertil agradable fruto das inestimable puro precioso rico regalado pues le ofreces todos sazonado util alma vista amable erudicion incomparable estilo jamas imaginado no solo digno ganes nombre le gane madrid cual madre tuya honrada tenerte hijo tajo nueva envidia asombre betis gloria atribuya hallar mecenas don juan arguijo
42,Soneto,Benito Arias Montano,15-17,esto entendimiento revuelta te hace disparar tu carrera aquello do menor razon espera te vas desatinando rienda suelta solias tu correr parar dar vuelta movido mano certera razon llevando bandera vela sentido viento suelta desesperado mi luz avara cuando pensaba ir atinando tino ciego me llevaba senti sentir como otra tan clara aquella primero me guiaba me va tiniebla oscura remedando
43,Soneto,Matías Juan Beana,15-17,globo azul euro no violenta tranquilidades seno undoso no hallando amarguras reposo pasajero sed corre tormenta javier sagrado desmayo alienta clamores miseros piadoso solicita licor venga precioso socorra pena atormenta cristo invoca cruz pendiente cuyo costado fuente mortales bote lancha abrio brio bendijo mar cruz sacro tridente como sintio ponto cristales aquella dulce fuente hizo rio
44,A un reloj que juntamente era candil,Anastasio Pantaleón de Ribera,15-17,nuevo ya esplendor restituida hermosisima luz tu ser mejoras pues noche tinieblas doras seno sombra desmentida si edad vives repetida aun caducos terminos ignoras indice vuelve horas segunda vez regular tu vida tu feliz quien fin violento tantos avisan mudos desenganos momento te da otro momento yo si ejemplo tus danos como llegue observar escarmiento llego tambien castigar mis anos
45,Soneto,Lorenzo Ortiz de Bujedo,15-17,si oscurece mundo ausencia padre luz sol hermoso yo luego semblante luminoso sustituyo benigna presencia cuando melancolica influencia tiende noche manto pavoroso mi hermosisima luz tenebroso horror infunde burla inclemencia alza cielo ojos mirarme te llenaras gozo alegria dejar momento admirarme oh luna dime quien tanta hidalguia pudo ti concederte ti darme ser simbolo expreso maria
46,En el túmulo que fabricó Sevilla a la reina Doña Margarita,Juan de Jauregui,15-17,hoy vandalia insigne cabeza magnifico sepulcro cuerpo santo margarita dedica tanto alma goza mayor alteza no rico adorno imperial grandeza mueva curiosa admiracion espanto ojos mismos dolor llanto debe mover funeral tristeza ya cuanto espacio universo estiende grave faz todo placer destierra muerte ufana tan noble palma ella alegre alegrese tierra cenizas envolver pretende cielo puro atesora alma
47,Al entierro que se hizo en San Esteban de Salamanc,Anastasio Pantaleón de Ribera,15-17,niegate huesped hoy partida llanto logra fatal te advierte este funesto triunfo muerte este funesto asombro vida culta urna alba dormida sueno yace inexorable fuerte eterna siempre noche dura suerte cual cerviz no temblo grave herida fuero parca luces bellas alba feuda aqui aquel fernando hoy gloria triunfos enriquece mucho pues ilustra estrellas aun mismos cielos ilustrando horizontes eternos amanece
48,A Lope de Vega y Carpio,Isabel de Ribadeneira,15-17,si espanol florentin famoso vieran tus escritos excelencia vaga quien parnaso reverencia quedara cada cual ti envidioso porque tu dulce estilo caudaloso asi demas diferencia como entre estrellas presencia sol medio curso luminoso pues rios faltar ninguno cortando montes valles frios mar van pagar debido censo no has crecer loor alguno vaya mi arroyo entre famosos rios oceano tu ingenio inmenso
49,"A don Diego de Lucena, pintor famoso, grande ingen",Anastasio Pantaleón de Ribera,15-17,esa diego lamina excedida ni griego pintor ni toscano esfuerzos debe tu mano segundo aliento mi segunda vida muda imagen vive consentida no bulto persuadir humano nada pincel oculta soberano solo voz le niega colorida no te adquiere esta copia alabanza imitada bien primores siempre son tu obrar menor parte mayor admiracion diego te alcanza anime tu diestra colores pueda dar espiritus arte
50,Soneto,Francisco de Segura,15-17,sois pecado original criada ab eterno guardada escogida quien os hizo virgen parida os hizo culpa preservada vuestra sangre divina inmaculada dios hecho hombre nos dio vida gracia tan alto recibida como pudo culpa ser manchada nuestro salvador verbo humanado virgen madre sois suma grandeza serafines os levanta dicho dionisio sea alabado no saber dios grande alteza os tuviera dios oh reina santa
51,La rosa en los cristales de una fuente...,Pedro Castro y Anaya,15-17,rosa cristales fuente flor flor todo prado desafia hermosa plumas carmin abria ser narciso cristal luciente cuando purpurea floreciente copas rubi perlas bebia achaque sol mal dia murio aun hermosura flores miente oh flor primer paso tu vida ultimo tambien pudo darte antes escarmentada nacida oh documento humana suerte oh verdad campos escondida quien no desengana tu muerte
52,Soneto,Luis Martín de la Plaza,15-17,fiera alejo cruel veneno entro mi pecho me privo sentido frenesi colera encendido quito mi lengua temeraria freno como turbe senora tu sereno cielo ser rayos oprimido pues soy gigante barbaro atrevido no escarmiento ejemplo ajeno rayos senora tu cielo bajen pagare mi muerte mal debo morire contento noche oscura porque mirar luz aun no me atrevo sol desprecie hermosura ti senora como propia imagen
53,Soneto,Luis Martín de la Plaza,15-17,tine tus aguas senal luto guadalhorce aumenta tu creciente llora pues no veras eternamente flor tu margen ni tus plantas fruto dios mar robo ladron astuto honro sol hermoso tu corriente como si oro cristal luciente rebelde le negaras tributo venganza espera tu afrentosa injuria combate mar tus arenas hondas pide tu sol guerra no ruego corre no temas arrogante furia pues te dan vencer ondas agua mis ojos mi boca fuego
54,Eróticas – - VI -,Esteban Manuel de Villegas,15-17,flote tuya contraria armada acometer feroz rendir violento salado mar te ayudo viento marte tierra ocasion tu espada oi vil pasion desenfrenada ingrato tu valor le das aliento pues fuerte capitan muda intento quieres ya mujer gozada trompa suena parto avecina picaro sutil cielo llega tu nombre aclama tu persona esparce necio me excusas mucho ignoras cina amor tambien guerra campo marce si ciego amor guerra ciega
55,A Santa Rosa de Lima,Luis Tejada y Guzmán,15-17,nace provincia verde espinosa tierno cogollo apenas engendrado entre rosas sol ya prado crepusculo olor rayo rosa llanos alba apenas goza cuando dueno singular cuidado temiendo tronche rudo arado aje mano artificiosa ya cairel desaprisiona virgen nina previniendo enganos corta pone guirnalda zona asi esta virgen tierna verdes anos corto autor puso corona oh bien anticipados desenganos
56,Soneto,Juan B. Camacho,15-17,virgen pura empireo cielo aurora quien muestra sol divino esplendor claro peregrino demas visten mortal velo ni angel levanta vuelo pudo vos correr igual camino limpia cualquier instante asi convino os hizo dios amoroso celo esta verdad voto alegre canta sacerdocio santo escogido ilustre acendrado devoto esta causa fiesta tanta solo suene entre celebre ruido virgen limpieza sacerdocio voto
57,Soneto,Juana de Arteaga,15-17,alegres horas memorias tristes breve punto durasteis eterna soledad me condenasteis pago contento me disteis decid mi mi os partisteis sabiendo vos vos cual me dejastes si do vinisteis os tornastes no mismo punto vinisteis cuanto esta venida deseada cuan arrebatada esta venida fin mejor hora menguada no me costasteis vida media desear vuestra llegada media llorar vuestra partida
58,- XXXIV -,Juan de Arguijo,15-17,ti alegres vides coronado baco gran padre domador oriente he cantar ti blandamente templas fuerza mayor cuidado ora castigues licurgo airado penteo tus aras insolente ora te mire festiva gente convites dulce regalado ya tu ariadna alto asiento subas ufano inmortal corona ven facil ven humano canto mio si no desmerece sacro aliento mi voz penetrara opuesta zona tibre envidiara hispalio rio
59,Soneto,Gonzalo de Ayala,15-17,impetu superior amor ardiente ignacio solicitan deseo pendiente jesus dichoso empleo unido bien admira ya presente divinos rayos oriente humilde vuela trofeo total suspension dulce recreo luz sobrenatural alma siente siete dias ignacio cuerpo calma alma heroicamente entretenida amores muere amores vive despierta jesus cuerpo alma porque cuerpo alma nueva vida ignacio tiempo jesus recibe
60,A Narciso,Juan de Arguijo,15-17,crece insano ardor crece engano aguas vio imagen bella sola causa mortal querella busca remedio acrecienta dano vuelve verse fuente caso extrano agua sale fuego ella templarlo piensa enemiga estrella ojos cierra facil desengano fallecieron fuerzas sentido ciego amante amado suerte costosa beldad cayo rendida ahora flor purpurea convertido agua principio muerte hace crezca prueba darle vida
61,A Dido,Juan de Arguijo,15-17,tirana codicia hermano impia ocasion fin tu siqueo huiste fiel airado egeo elisa hasta termino africano donde reliquias ardor troyano encendieron ti nuevo deseo entregaste infausto himeneo teucro enganador fe mano despreciaste tu dano presurosa merecida fama destruyes engano obstinada quieres oh ambas bodas poco venturosa muriendo uno perseguida huyes huyendo otro desdenada mueres
62,A don Agustín de Salazar y Torres,Pedro de Arce,15-17,uno otro griego valeroso heroicas hazanas describe inmortalidad apercibe sabio homero plecto armonioso heroicas obras heroes glorioso eterno aplauso siempre vive hoy logra tiempo este honor recibe docto vera celo generoso dulces reliquias amistad traslada inadvertencias olvido veneracion memoria hoy resuena lira celebrada castellano apolo esclarecido esta fama hallo gloria
63,A la muerte de Lope de Vega,Luis Ramírez de Arellano,15-17,vive inmortal milagro peregrino aconteciste raro nuestra espana cuanto mundo ti desengana abriste musas camino ya callara envidia destino obediente barbara guadana vive vive inmortal pues te acompana toda eternidad divino tu gran monumento voto sea cuanta pindo devocion ardiente otro tiempo aras altares porque envidia despecho vea asiste lope culto reverente tres orbes fe cuatro mares
64,A Raimundo de Peñafort,Juan Francisco Andrés,15-17,pena fuerte raimundo apellido rey mundo nombre le publica aquel fortaleza santa explica este cuanto hay mortal muestra rendido elemento embravecido cuado mato ondas fe aplica viento mansamente implica hasta haberle playa conducido triunfo mar airado vientos cuando preceptos obedecen muestra mundo menor movimientos otros prodigios crecen pues penden voz dos elementos hombres escuchan ensordecen
65,Soneto,Álvaro Cubillo de Aragón,15-17,llego suma elevacion mariana piso ultima linea grandeza adolecio grande fineza peligro vivio soberana purpura clavel nieve grana esmeralda rompio belleza ocasionando riesgo tanta alteza flor desabrocho abril temprana dio espana sucesor hizo inmortales victorias sustos temores laurel debido tanta hazana viva sol rubios cendales azafates encarnadas flores gloria felipe principes espana
66,A la muerte de Raquel,Miguel de Barrios,15-17,llora jacob raquel querida hermosura marchita fin temprano corto poderosa fuerte mano arbol enganoso vida ve purpurea rosa convertida cardeno color polvo vano gala cuerpo lozano postrada tierra tierra reducida ay dice gozo incierto gloria vana mentido gusto estado nunca fijo quien fia tu verdor vida inconstante pues cuando robusta lozana bien me costo tiempo prolijo me quito muerte instante
