id,titulo,autor,siglo,texto_limpio,tokens_utiles
547,En honor de Juan de Castellanos,Lázaro Luis Iranzo,15-17,no debe tanto a homero el griego bando porque canto sus hechos soberanos como a juan castellanos castellanos que los va en las estrellas colocando virgilio este a sus frigios alabando y el docto tito livio a sus romanos que nuestro historiador con propias manos obro con marte lo que va cantando fueron igual en el pluma y espada en vencer y en cantar de las regiones del espanol pisadas y rendidas y destas sus historias y blasones la muerte quedara tan ensalzada que ya los vivos no estimen las vidas,no debe tanto homero griego bando porque canto hechos soberanos como juan castellanos castellanos va estrellas colocando virgilio este frigios alabando docto tito livio romanos nuestro historiador propias manos obro marte va cantando fueron igual pluma espada vencer cantar regiones espanol pisadas rendidas destas historias blasones muerte quedara tan ensalzada ya vivos no estimen vidas
548,Soneto,Juan de la Cueva,15-17,trujo felino o alcanzo de un nido un pajarillo al pelechar primero y en una jaula de un cuadrado acero mandandolo tirena lo ha metido pero cuando la madre vino y vido del tiernecillo hijo el fin postrero la carcel quiebra al pollo lleva entero con una cierta hierba que ha traido ya que felino de tirena el dano piensa enmendar poniendo a la superba el quebrantado acero alli delante mucho mas le endurece ah caso extrano que para quebrantar acero hay hierba y acero no que un corazon quebrante,trujo felino alcanzo nido pajarillo pelechar primero jaula cuadrado acero mandandolo tirena ha metido cuando madre vino vido tiernecillo hijo fin postrero carcel quiebra pollo lleva entero cierta hierba ha traido ya felino tirena dano piensa enmendar poniendo superba quebrantado acero alli delante mucho le endurece ah caso extrano quebrantar acero hay hierba acero no corazon quebrante
549,A Juan de Jáuregui,Francisco Pacheco,15-17,la muda poesia y la elocuente pintura a quien tal vez naturaleza cede en la copia admira en la belleza por vos don juan florece altamente aqui al docta lira aqui el valiente pincel de vuestro ingenio la grandeza muestran que con ufana ligereza la fama extiende en una y otra gente alce la ornada frente el betis sacro su tesoro llevando al mar profundo y de jauregui el nombre y la memoria en tanto que su ilustre simulacro venera espana reconoce el mundo como de nuestra edad insigne gloria,muda poesia elocuente pintura quien tal vez naturaleza cede copia admira belleza vos don juan florece altamente aqui docta lira aqui valiente pincel vuestro ingenio grandeza muestran ufana ligereza fama extiende otra gente alce ornada frente betis sacro tesoro llevando mar profundo jauregui nombre memoria tanto ilustre simulacro venera espana reconoce mundo como nuestra edad insigne gloria
550,Soneto,Lorenzo Laso de la Vega y Cerdá,15-17,dorada isla de cuba o fernandina de cuyas altas cumbres eminentes bajan a los arroyos rios y fuentes el acendrado oro y plata fina si el dulce canto y musica divina de aquel que vio las infernales gentes las penas suspendio tan diferentes y movio a compasion a proserpina con cuanta mas razon isla dichosa estais vos dando al orbe admiracion con este nuevo homero y fertil yedra pues su dulzura os hace mas famosa que aquella a quien la lira de anfion hizo los muros de ladrillo y piedra,dorada isla cuba fernandina cuyas altas cumbres eminentes bajan arroyos rios fuentes acendrado oro plata fina si dulce canto musica divina aquel vio infernales gentes penas suspendio tan diferentes movio compasion proserpina cuanta razon isla dichosa estais vos dando orbe admiracion este nuevo homero fertil yedra pues dulzura os hace famosa aquella quien lira anfion hizo muros ladrillo piedra
551,A la muerte de Miguel Ángel,Francisco Pacheco,15-17,razon es ya que el marmol duro helado que espiritu de ti recibio ardiente vierta lagrimas tristes pura fuente vuelto de vida y honra despejado razon es que le color vil o preciado que a tanta forma ministro valiente persuadiendo verdad en lo aparente sin valor muera en su primer estado razon es ya que el alto ilustre templo que adornaste con sacro y real decoro oscuro quede del color vecino y que lloroso de aganipe el coro viva pues no de hoy mas cual raro ejemplo versos te oira cantar angel divino,razon ya marmol duro helado espiritu ti recibio ardiente vierta lagrimas tristes pura fuente vuelto vida honra despejado razon le color vil preciado tanta forma ministro valiente persuadiendo verdad aparente valor muera primer estado razon ya alto ilustre templo adornaste sacro real decoro oscuro quede color vecino lloroso aganipe coro viva pues no hoy cual raro ejemplo versos te oira cantar angel divino
552,Sonetos – - III -,Fray Luis de León,15-17,ahora con la aurora se levanta a mi luz ahora coge en rico nudo el hermoso cabello ahora el crudo pecho cine con oro la garganta ahora vuelta al cielo pura y santa las manos y ojos bellos alza y pudo dolerse ahora de mi mal agudo ahora incomparable tane y canta asi digo y del dulce error llevado presente ante mis ojos la imagino y lleno de humildad y amor la adoro mas luego vuelve en si el enganado animo y conociendo el desatino da rienda suelta largamente al lloro,ahora aurora levanta mi luz ahora coge rico nudo hermoso cabello ahora crudo pecho cine oro garganta ahora vuelta cielo pura santa manos ojos bellos alza pudo dolerse ahora mi mal agudo ahora incomparable tane canta asi digo dulce error llevado presente ante mis ojos imagino lleno humildad amor adoro luego vuelve si enganado animo conociendo desatino da rienda suelta largamente lloro
553,A la muerte del Almirante de Castilla,Jerónimo Cáncer y Velasco,15-17,aquel que lleno el orbe con su aliento yace despojo de la muerte fiera y de esta helada si legal hoguera es estrecha inscripcion el vago viento no te acerques o huesped poco atento a este polvo que el tiempo le venera su nombre escucharas adonde quiera delito es fatigar el monumento triunfos incluye aqui sordo el destino a quien la vista humana no se atreve y la fama inmortal los eterniza pero ya que viniste o peregrino descubre sin temor el marmol breve que aun le dura el agrado a la ceniza,aquel lleno orbe aliento yace despojo muerte fiera esta helada si legal hoguera estrecha inscripcion vago viento no te acerques huesped poco atento este polvo tiempo le venera nombre escucharas adonde quiera delito fatigar monumento triunfos incluye aqui sordo destino quien vista humana no atreve fama inmortal eterniza ya viniste peregrino descubre temor marmol breve aun le dura agrado ceniza
554,Don Francisco de Quevedo,García de Porras,15-17,si no sabeis senora de cetina quien es tenido el sesenton quevedo sabed que es un triton que huele a pedo y que de no comer caga canina de cuero le dio gongora esclavina con cara de ahorcado a medio credo que al mismo san anton pusiera miedo en la pandorga de don juan de espina sayon de rua en calvachin retablo mugre inmortal y semicapro eterno clerigo ingles injerto en cachidiablo el cuerpo en vino el alma en el infierno y al fin para figura de juan pablo un pie de calzador y otro de cuerno,si no sabeis senora cetina quien tenido sesenton quevedo sabed triton huele pedo no comer caga canina cuero le dio gongora esclavina cara ahorcado medio credo mismo san anton pusiera miedo pandorga don juan espina sayon rua calvachin retablo mugre inmortal semicapro eterno clerigo ingles injerto cachidiablo cuerpo vino alma infierno fin figura juan pablo pie calzador otro cuerno
555,Sonetos – - I -,Gregorio de Matos,15-17,a coronarte nubes castro al cielo rio a acabar te escondes en la tierra mendoza vuelas rayo de la guerra hurtado bajas desatado el cielo hurtado rio mueres en el suelo mendoza brillas astro que no yerra en tu curso fatal sutil se encierra en fin sagrado dueno y otro vuelo rio en la mar en el calor hurtado mendoza en aire en ceniza castro fue lamentar compuesto se destroza pero espiritu todo arrebatado nuevo te admira el orbe todo un astro de hurtado castro rio de mendoza,coronarte nubes castro cielo rio acabar te escondes tierra mendoza vuelas rayo guerra hurtado bajas desatado cielo hurtado rio mueres suelo mendoza brillas astro no yerra tu curso fatal sutil encierra fin sagrado dueno otro vuelo rio mar calor hurtado mendoza aire ceniza castro lamentar compuesto destroza espiritu todo arrebatado nuevo te admira orbe todo astro hurtado castro rio mendoza
556,Soneto,Jerónimo Matías Litala,15-17,segunda erige en el parnaso cumbre segundo coro de las tres hermanas y en voces celestiales soberanas deleitan la gustosa pesadumbre asistidas de apolo y de su lumbre alternan melodias no profanas y con las liras y armonia ufanas siguen de las hermanas la costumbre cantan las seis cada una en plectro de oro seis esferas moviendo a su concento que el ritmo siguen musico y canoro responde la otra punta en blando acento uno y otro se alternan dulce el coro pero las tres han enfrenado el viento,segunda erige parnaso cumbre segundo coro tres hermanas voces celestiales soberanas deleitan gustosa pesadumbre asistidas apolo lumbre alternan melodias no profanas liras armonia ufanas siguen hermanas costumbre cantan seis cada plectro oro seis esferas moviendo concento ritmo siguen musico canoro responde otra punta blando acento uno otro alternan dulce coro tres han enfrenado viento
557,Sonetos en su honor – Soneto,Cristóbal de Virués,15-17,digo que las paredes han oidos no estamos bien aqui por nuestra vida que en parte nos pongamos escondida para leer estos versos escogidos no es negocio de burla si sentidos somos con esta dama en nuestra vida cual ella lo es del vulgo perseguida sin poder ser de nadie socorridos y anda el vulgo muy cuerdo y sabio y justo en perseguir senor de esta manera la poesia y su divino gusto pues no es cual el infame lisonjera pues no es cual el amiga de lo injusto pues no es cual el para los buenos fiera,digo paredes han oidos no estamos bien aqui nuestra vida parte nos pongamos escondida leer estos versos escogidos no negocio burla si sentidos somos esta dama nuestra vida cual ella vulgo perseguida poder ser nadie socorridos anda vulgo cuerdo sabio justo perseguir senor esta manera poesia divino gusto pues no cual infame lisonjera pues no cual amiga injusto pues no cual buenos fiera
558,A Lope de Vega,Luis Vélez de Santander,15-17,padre betis que en humedas recovas sobre urnas plateadas dormir sueles cansado de sufrir tantos bajeles en que el metal del sol al indio robas obliguete a salir de tus alcobas asiendote a algun arbol de cibeles coronado de olivas y laureles calzado de cristal vestido de ovas la lira de un pastor de manzanares que fue del tajo vega y maravilla cuyo fruto tus margenes guarnece si por el que te dan remotos mares ganaste fama al fin este a tu orilla mas que la plata y oro te enriquece,padre betis humedas recovas urnas plateadas dormir sueles cansado sufrir tantos bajeles metal sol indio robas obliguete salir tus alcobas asiendote algun arbol cibeles coronado olivas laureles calzado cristal vestido ovas lira pastor manzanares tajo vega maravilla cuyo fruto tus margenes guarnece si te dan remotos mares ganaste fama fin este tu orilla plata oro te enriquece
559,Soneto,Antonio o Alfonso (El Viejo) Hernández,15-17,hermosas ninfas que en la fertil moya donde flora le dio nombre a su estancia gozais de la frescura y la fragancia que a tan discretos animos apoya aqui donde el amor pesca sin boya y nunca sale de ella sin ganancia y pudiera el autor sin arrogancia decir por lo pasado aqui fue troya de aquellas verdes hojas que en rehenes cogio aquel que de dafne ya carece componiendo guirnalda variada cenireis de silvestre ambas sienes pues con sus versos honra y engrandece de vuestra amenidad la patria amada,hermosas ninfas fertil moya donde flora le dio nombre estancia gozais frescura fragancia tan discretos animos apoya aqui donde amor pesca boya nunca sale ella ganancia pudiera autor arrogancia decir pasado aqui troya aquellas verdes hojas rehenes cogio aquel dafne ya carece componiendo guirnalda variada cenireis silvestre ambas sienes pues versos honra engrandece vuestra amenidad patria amada
560,A San Isidro,Nicolás Prado y Ribera,15-17,los campos de madrid isidro santo agricultor labro siendo ayudado de angelico favor bien que enviado del que al sabio cherub le causa espanto en extasis suspenso admira el canto casi en nueva region del coro alado surcos imprimen con el corvo arado oficiosos los angeles en tanto quien merecio tener tal compania que hiciese el campo soberano cielo ni la gloria le diese tal tributo isidro que en la excelsa monarquia goza de sus trabajos y su celo sembrando aqui sus lagrimas el fruto,campos madrid isidro santo agricultor labro siendo ayudado angelico favor bien enviado sabio cherub le causa espanto extasis suspenso admira canto casi nueva region coro alado surcos imprimen corvo arado oficiosos angeles tanto quien merecio tener tal compania hiciese campo soberano cielo ni gloria le diese tal tributo isidro excelsa monarquia goza trabajos celo sembrando aqui lagrimas fruto
561,Soneto,Pedro de Robles y Guzmán,15-17,o reina grande aun antes de la cuna mas que accidente opone la fiereza a la constante luz de su grandeza afectando la ley de la fortuna crece dolencia grande que importuna a pagar solicita la fineza y remontando sol en su entereza resiste la inconstancia de la luna con igualdad discorde en regia valla dos grandes a la lucha se permiten creciendo el uno el otro sin aumento vence mariana o tu porque es batalla donde violento y natural compiten es preciso que ceda lo violento,reina grande aun antes cuna accidente opone fiereza constante luz grandeza afectando ley fortuna crece dolencia grande importuna pagar solicita fineza remontando sol entereza resiste inconstancia luna igualdad discorde regia valla dos grandes lucha permiten creciendo uno otro aumento vence mariana tu porque batalla donde violento natural compiten preciso ceda violento
562,Soneto,Manuel Salinas y Lizana,15-17,llegando a hesperia el puerto deseado el quinto carlos en velera armada portatil corte siempre venerada del espumoso reino aun mas airado ninfa pirene el rostro alborozado descollando en la mas cumbre empinada a roma llama a tracia coronada con el hemo su monte celebrado vuelta al oaxes el que a creta bana y al mar le rinde su tributo undoso dijo tambien a creta que viniera venid dice vereis a un rey de espana que a roma numa a tracia un belicoso marte y a creta jove ser pudiera,llegando hesperia puerto deseado quinto carlos velera armada portatil corte siempre venerada espumoso reino aun airado ninfa pirene rostro alborozado descollando cumbre empinada roma llama tracia coronada hemo monte celebrado vuelta oaxes creta bana mar le rinde tributo undoso dijo tambien creta viniera venid dice vereis rey espana roma numa tracia belicoso marte creta jove ser pudiera
